#^
# Automatically generated edge file
#
# image 0
#
# format :
# index    x1    y1    x2    y2 
#
 
   24   3.02609e-01  -1.22877e-01   2.98932e-01  -1.13092e-01
   15   2.40227e-01  -7.78889e-02   7.57217e-02  -7.40091e-02
    2  -1.38019e-01  -8.04069e-02  -1.44286e-01   1.05771e-01
    3  -1.29516e-01  -4.89803e-02  -1.38338e-01   2.78803e-01
    0  -2.91163e-01  -4.04648e-02  -2.97429e-01   8.40684e-02
    4   6.96350e-02  -4.04769e-02   6.71258e-02   2.78809e-01
    6   2.44252e-01   9.26381e-03   2.44575e-01   3.57536e-02
    6   2.44443e-01   4.90619e-02   2.45579e-01   2.78812e-01
    2  -1.44734e-01   1.08428e-01  -1.48820e-01   2.78803e-01
    0  -2.99200e-01   1.19133e-01  -3.05534e-01   2.78787e-01
   10  -3.85452e-01  -2.37986e-01  -2.88765e-01  -1.77322e-01
    9  -3.85405e-01  -1.91020e-01  -2.96852e-01  -1.43001e-01
   11  -2.77848e-01  -1.66590e-01  -2.20120e-01  -1.30120e-01
   11  -2.03555e-01  -1.19766e-01  -1.43684e-01  -8.38404e-02
   12  -1.31390e-01  -5.14402e-02   5.95994e-02  -5.62670e-02
   13  -1.27398e-01  -7.60687e-02   6.10861e-02  -8.12099e-02
   19  -7.21311e-02  -1.91232e-01  -2.24167e-03  -1.93957e-01
   21  -6.32638e-03  -1.16637e-01   5.03833e-02  -1.17947e-01
   23   6.47417e-02  -1.05084e-01   1.56356e-01  -1.07105e-01
   14   8.77888e-02  -4.10985e-02   1.44287e-01  -4.20431e-02
   29   9.45025e-02  -1.74163e-01   2.42663e-01  -1.79067e-01
   31   1.09383e-01  -1.35926e-01   2.38564e-01  -1.39498e-01
   14   1.56249e-01  -4.19209e-02   2.15876e-01  -4.22826e-02
   23   2.09068e-01  -1.08368e-01   2.46502e-01  -1.08901e-01
   17   2.41413e-01  -8.41113e-02   3.71745e-01  -8.68506e-02
   23   2.50573e-01  -1.09092e-01   2.96580e-01  -1.10379e-01
